corner_label,pnp_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,det_early_v,fb_early_v,fb_final_v,sns1_final_v,sns2_final_v,vref_final_v,det_final_v,i_mkfb_final_a,dvsns_final_v
bcs,bcs,mos_ff,res_bcs,27,3.63,10u,PASS,3.58236e-01,1.22280e-01,2.87207e+00,7.82607e-01,7.82381e-01,1.19891e+00,3.82814e-03,2.87269e-09,0.000226
bcs,bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.24145e-01,2.62554e-02,2.27014e+00,6.42442e-01,6.41955e-01,1.19182e+00,8.83361e-03,2.39460e-09,0.000487
bcs,bcs,mos_ff,res_bcs,125,3.30,10u,PASS,1.90975e-01,3.62985e-02,2.60041e+00,6.42456e-01,6.41997e-01,1.19218e+00,9.86298e-03,2.74133e-09,0.000459
bcs,bcs,mos_ff,res_bcs,125,3.63,10u,PASS,1.18286e-01,6.03371e-02,2.93075e+00,6.42455e-01,6.41994e-01,1.19217e+00,1.09043e-02,3.09096e-09,0.000461
wcs,wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,2.89546e-01,1.40796e-01,2.08738e+00,8.69929e-01,8.69776e-01,1.19445e+00,2.34853e-03,2.08763e-09,0.000153
wcs,wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,3.21719e-01,1.56193e-01,2.41756e+00,8.69952e-01,8.69847e-01,1.19488e+00,2.61253e-03,2.41745e-09,0.000105
wcs,wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,3.53892e-01,1.71535e-01,2.74776e+00,8.69972e-01,8.69904e-01,1.19522e+00,2.87752e-03,2.74756e-09,6.8e-05
wcs,wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.90576e-01,1.41923e-01,2.12091e+00,7.78012e-01,7.77747e-01,1.19432e+00,5.67727e-03,2.12093e-09,0.000265
wcs,wcs,mos_ss,res_wcs,27,3.30,10u,PASS,3.22864e-01,1.57140e-01,2.45112e+00,7.78035e-01,7.77815e-01,1.19477e+00,6.33637e-03,2.45129e-09,0.00022
wcs,wcs,mos_ss,res_wcs,27,3.63,10u,PASS,3.55151e-01,1.71848e-01,2.78135e+00,7.78050e-01,7.77862e-01,1.19505e+00,7.00211e-03,2.78138e-09,0.000188
wcs,wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.91484e-01,1.28267e-01,2.18750e+00,6.39166e-01,6.38723e-01,1.18931e+00,2.18883e-02,2.19998e-09,0.000443
wcs,wcs,mos_ss,res_wcs,125,3.30,10u,PASS,3.23585e-01,1.23797e-01,2.51775e+00,6.39184e-01,6.38778e-01,1.18974e+00,2.50120e-02,2.53237e-09,0.000406
wcs,wcs,mos_ss,res_wcs,125,3.63,10u,PASS,3.53722e-01,1.04161e-01,2.84806e+00,6.39189e-01,6.38791e-01,1.18981e+00,2.83631e-02,2.86534e-09,0.000398
sf,typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.91021e-01,1.41275e-01,2.16370e+00,8.72708e-01,8.72555e-01,1.19708e+00,2.19923e-03,2.16380e-09,0.000153
sf,typ,mos_sf,res_typ,-40,3.30,10u,PASS,3.23358e-01,1.56717e-01,2.49389e+00,8.72730e-01,8.72620e-01,1.19749e+00,2.44599e-03,2.49401e-09,0.00011
sf,typ,mos_sf,res_typ,-40,3.63,10u,PASS,3.55695e-01,1.72084e-01,2.82410e+00,8.72747e-01,8.72672e-01,1.19779e+00,2.69327e-03,2.82402e-09,7.5e-05
sf,typ,mos_sf,res_typ,27,2.97,10u,PASS,2.91850e-01,1.42254e-01,2.19478e+00,7.80498e-01,7.80231e-01,1.19651e+00,4.98481e-03,2.19469e-09,0.000267
sf,typ,mos_sf,res_typ,27,3.30,10u,PASS,3.24278e-01,1.57112e-01,2.52499e+00,7.80518e-01,7.80291e-01,1.19692e+00,5.55636e-03,2.52497e-09,0.000227
sf,typ,mos_sf,res_typ,27,3.63,10u,PASS,3.56706e-01,1.70793e-01,2.85523e+00,7.80531e-01,7.80330e-01,1.19715e+00,6.13218e-03,2.85527e-09,0.000201
sf,typ,mos_sf,res_typ,125,2.97,10u,PASS,2.89693e-01,1.23254e-01,2.25734e+00,6.40869e-01,6.40417e-01,1.19061e+00,1.73221e-02,2.27912e-09,0.000452
sf,typ,mos_sf,res_typ,125,3.30,10u,PASS,3.11687e-01,1.09272e-01,2.58761e+00,6.40884e-01,6.40461e-01,1.19098e+00,1.95854e-02,2.61277e-09,0.000423
sf,typ,mos_sf,res_typ,125,3.63,10u,PASS,3.16013e-01,9.25491e-02,2.91794e+00,6.40884e-01,6.40461e-01,1.19099e+00,2.19466e-02,2.94716e-09,0.000423
fs,typ,mos_fs,res_typ,-40,2.97,10u,PASS,2.91025e-01,1.41171e-01,2.10769e+00,8.72701e-01,8.72533e-01,1.19698e+00,1.41015e-03,2.10780e-09,0.000168
fs,typ,mos_fs,res_typ,-40,3.30,10u,PASS,3.23362e-01,1.56476e-01,2.43788e+00,8.72724e-01,8.72603e-01,1.19742e+00,1.56752e-03,2.43803e-09,0.000121
fs,typ,mos_fs,res_typ,-40,3.63,10u,PASS,3.55699e-01,1.71456e-01,2.76807e+00,8.72743e-01,8.72660e-01,1.19775e+00,1.72504e-03,2.76819e-09,8.3e-05
fs,typ,mos_fs,res_typ,27,2.97,10u,PASS,2.91846e-01,1.38824e-01,2.13900e+00,7.80488e-01,7.80203e-01,1.19638e+00,2.93759e-03,2.13919e-09,0.000285
fs,typ,mos_fs,res_typ,27,3.30,10u,PASS,3.24270e-01,1.49329e-01,2.46921e+00,7.80511e-01,7.80270e-01,1.19682e+00,3.26804e-03,2.46928e-09,0.000241
fs,typ,mos_fs,res_typ,27,3.63,10u,PASS,3.56687e-01,1.52697e-01,2.79944e+00,7.80526e-01,7.80315e-01,1.19709e+00,3.59961e-03,2.79960e-09,0.000211
fs,typ,mos_fs,res_typ,125,2.97,10u,PASS,2.64466e-01,2.73261e-02,2.20195e+00,6.40859e-01,6.40386e-01,1.19047e+00,8.66996e-03,2.26620e-09,0.000473
fs,typ,mos_fs,res_typ,125,3.30,10u,PASS,2.43686e-01,2.53967e-02,2.53221e+00,6.40877e-01,6.40439e-01,1.19088e+00,9.68669e-03,2.60486e-09,0.000438
fs,typ,mos_fs,res_typ,125,3.63,10u,PASS,1.97109e-01,3.87672e-02,2.86253e+00,6.40880e-01,6.40448e-01,1.19095e+00,1.07168e-02,2.94491e-09,0.000432
